,id,text,quote,user,ranges,article
0,0010c67a-b2c4-4f35-8803-fdbd5376fdd0,STORY,"In its quest to find molecules that could point to life on Mars, NASA's Curiosity rover has struck a gusher. Since Curiosity landed in 2012, it has sifted samples of soil and ground-up rock for signs of organic molecules—the complex carbon chains that on Earth form the building blocks of life. Past detections have been so faint that they could be just contamination. Now, samples taken from two different drill sites on an ancient lakebed have yielded complex organic macromolecules that look strikingly similar to the goopy fossilized building blocks of oil and gas on Earth. At a few dozen parts per million, the detected levels are 100 times higher than previous finds.",12,"{'end': '/div[2]/p[3]', 'start': '/div[2]/p[3]', 'endOffset': 674, 'startOffset': 0}",4fd4935d-2518-4863-8315-058b2ee3acc7
1,00250e31-913e-463b-924f-7e8d00c09b9c,EXPL,"The deepest split time of 350,000 years ago represents a comparison between an ancient Stone Age hunter-gatherer boy from Ballito Bay on the east coast of South Africa and the West African Mandinka. ""This means that modern humans emerged earlier than previously thought,"" says Mattias Jakobsson, population geneticist at Uppsala University who headed the project together with Stone Age archaeologist Marlize Lombard at the University of Johannesburg.",12,"{'end': '/div[2]/p[3]', 'start': '/div[2]/p[3]', 'endOffset': 619, 'startOffset': 168}",1d556755-8c32-4b74-a7fe-bbd10678bb4e
2,002c592d-24d2-42d3-9ef2-882e586436c0,PERSONAL,"This planning tool and hybrid approach are so innovative that the American Society of Civil Engineers recently honored Jonathan Bradshaw, a graduate student in civil and environmental engineering, and Richard Luthy, a professor of civil and environmental engineering, for developing AquaCharge.",12,"{'end': '/div[2]/p[4]', 'start': '/div[2]/p[4]', 'endOffset': 294, 'startOffset': 0}",118d473c-6b08-45e7-85ed-34aca4fb683e
3,002ed634-180e-431d-b427-c5f55f5da10d,MAIN,"Two years later, PG&E is headed for bankruptcy, its senior executives departed and balance sheet torched by a pair of unprecedented wildfire seasons. California investigators have tied at least 17 major wildfires to PG&E in 2017, and a downed PG&E power line is suspected of having caused the deadly 2018 Camp Fire north of Sacramento. The company now faces up to $30 billion in fire liabilities, a sum that exceeds its assets and insurance (Energywire, Jan. 14).",9,"{'end': '/div[2]/p[4]', 'start': '/div[2]/p[4]', 'endOffset': 463, 'startOffset': 0}",f4808e16-d0c9-4b7f-a20e-a0772f4ed4f8
4,003c58f6-4edd-4a3f-9281-5ce5cfc8ff23,EXPL,"The research team, which included computer scientists from Stanford, Baidu Inc. and the University of Washington, devised an experiment that pitted Baidu’s Deep Speech 2 cloud-based speech recognition software against 32 texters, ages 19 to 32, working the built-in keyboard on an Apple iPhone.",12,"{'end': '/div[2]/p[8]', 'start': '/div[2]/p[8]', 'endOffset': 294, 'startOffset': 0}",4ad72eea-f3d6-454d-a9d8-36cdf6cb77d1
5,003f9d2c-876b-47f0-b47e-54dd25594809,IMPACT,"What’s more, given current and predicted future financial incentives, the approach could even turn a profit.",12,"{'end': '/div[2]/p[8]', 'start': '/div[2]/p[8]', 'endOffset': 218, 'startOffset': 109}",309a0af9-e2f5-4d90-81d6-9971df9cd2d9
6,004cacaf-fec9-45bd-93d2-9b38af23e681,EXPL,"With conventional fossil-fuel power plants, managers can easily ramp up energy production when people need it most. That’s not always possible with wind or solar. Instead, we need an electric grid that can handle variable sources of energy, and ways of storing or producing energy when it’s needed.",12,"{'end': '/div[2]/p[3]', 'start': '/div[2]/p[3]', 'endOffset': 298, 'startOffset': 0}",3c2a4d08-a2b0-4f4b-a976-4b877025e747
7,006b8865-4b94-4ce5-90c1-6b712d33d97f,PERSONAL,"“When we’re looking at new devices, you could make them anything, right? Any shape, any form,” said Robert Brunner, the industrial designer who worked for many years at Apple and now runs his own design studio.",12,"{'end': '/div[2]/p[4]', 'start': '/div[2]/p[4]', 'endOffset': 211, 'startOffset': 0}",2d6b0333-acce-4dd4-8a0e-248b8c0a1a5c
8,006b9c66-78a6-4d49-b100-9ce2089e3294,IMPACT,"Therefore, our result could also be relevant for those research areas which look for the origin of complexity in nature.""",9,"{'end': '/div[2]/p[28]', 'start': '/div[2]/p[28]', 'endOffset': 703, 'startOffset': 582}",4268165e-7e56-4a9a-94b9-828ba1fb1467
9,006e599a-03a9-4852-86f6-001af14898a9,EXPL,"The idea that birth mode might affect health gained traction in 2010, when microbial ecologist Maria Gloria Dominguez Bello of Rutgers University in New Brunswick, New Jersey, found that babies delivered surgically harboured different collections of bacteria than did those born vaginally1. C-section babies, which comprise more than 30% of births in the United States, are also more prone to obesity and immune diseases such as diabetes2.",12,"{'end': '/div[2]/p[8]', 'start': '/div[2]/p[8]', 'endOffset': 439, 'startOffset': 0}",1f386e99-4c6f-40b0-ad9e-e5ae6fe086fd
